question_id,phase,tier,task_group,question_number,question_stem,option_a,option_b,option_c,option_d,correct_answer,answer_explanation,distractor_note,discrimination_point
CPMAI-P1-20250226-1842,Phase I - Business Understanding,1,Determine Business Objectives,1,"According to the CPMAI framework, which task is responsible for identifying the specific business metrics that will define project success?",Cost-Benefit Analysis,Determine Business Success Criteria,Business Feasibility,AI System Performance and Operation,B,Determine Business Success Criteria is the task specifically focused on defining the metrics and targets that indicate business objectives have been met.,"AI System Performance and Operation is tempting because it involves defining performance metrics, but those are technical and KPI thresholds - the task specifically responsible for identifying business success metrics is Determine Business Success Criteria.", - 
CPMAI-P1-20250226-2957,Phase I - Business Understanding,2,Cognitive Project Requirements,2,A project team is planning an AI initiative to automate customer service responses. They need to identify whether the solution requires natural language understanding or simple pattern matching. Which Phase I task addresses this specific need?,Assess Situation,Determine Business Objectives,AI Pattern Identification,Resource Requirements,C,AI Pattern Identification is the task within Cognitive Project Requirements that identifies the specific types of cognitive capabilities the AI solution needs.,"Assess Situation is tempting because it involves understanding context, but it focuses on resources and schedule, not cognitive requirements.", - 
CPMAI-P1-20250226-5123,Phase I - Business Understanding,2,Trustworthy AI Requirements,3,"A healthcare AI project team has documented Required Ethical AI Considerations, Required AI Transparency Considerations, Required AI Explainability Considerations, and Required Compliance With Regulations and Laws. The project sponsor asks whether they can move to Phase II. According to CPMAI, which additional Trustworthy AI task must be completed before the Go/No-Go decision?",Required AI Transparency Considerations,AI Failure Modes,Required AI Explainability Considerations,Required Compliance With Regulations and Laws,B,AI Failure Modes must be identified during Phase I to understand how the system could fail and what safeguards are needed before project approval.,"Required Compliance With Regulations and Laws is tempting because healthcare has strict regulations, but that task was explicitly completed in the scenario - AI Failure Modes is the only Trustworthy AI task not yet addressed.", - 
CPMAI-P1-20250226-6478,Phase I - Business Understanding,1,AI System Performance and Operation,4,Which two sets of performance values must be defined during Phase I according to the AI System Performance and Operation task group?,Training and Test Data Requirements,Acceptable Model Performance Values and Acceptable KPI Performance Values,Resource Requirements and Schedule Requirements,Cognitive Requirements and AI Pattern Identification,B,Acceptable Model Performance Values (technical) and Acceptable KPI Performance Values (business) are the two performance definition tasks in this task group.,"Training and Test Data Requirements is tempting but belongs to Phase II Data Understanding, not Phase I performance definition.", - 
CPMAI-P1-20250226-7231,Phase I - Business Understanding,3,AI Go/No-Go,5,"A project team has completed all Phase I tasks. Business feasibility is strong, and data appears available. However, the organization lacks data scientists with experience in the required technique. According to CPMAI, what is the correct outcome of the AI Go/No-Go task?",Proceed to Phase II - business and data feasibility are sufficient,Return to Determine Business Objectives to redefine the project scope,No-Go decision based on execution feasibility failure,Escalate to governance for a waiver to proceed without execution capability,C,Execution Feasibility is one of the three required feasibility assessments in the AI Go/No-Go task. Lack of skilled resources constitutes an execution feasibility failure.,"Proceed to Phase II is tempting because business and data feasibility are strong, but the Go/No-Go gate requires all three feasibility types (business, data, execution) to pass.","The critical distinction is that AI Go/No-Go requires three independent feasibility assessments - business, data, and execution - and all three must pass to proceed."
CPMAI-P1-20250226-3891,Phase I - Business Understanding,2,Trustworthy AI Requirements,6,"A financial services project team has documented the required model explainability approach and confirmed compliance with banking regulations. During review, a stakeholder asks how the team will handle situations where the model produces unexplainable results. Which Trustworthy AI requirement remains incomplete?",Required Ethical AI Considerations,Required AI Transparency Considerations,AI Failure Modes,Use of Trustworthy AI Framework,C,"AI Failure Modes requires identifying and planning for situations where the AI system fails or produces unexplainable results, which is precisely what the stakeholder is asking about.","Required AI Transparency Considerations is tempting because it relates to openness about how the model works, but failure modes specifically address what happens when things go wrong.", - 
CPMAI-P1-20250226-4562,Phase I - Business Understanding,1,Determine Business Objectives,7,"Within the Determine Business Objectives task group, which task directly precedes and informs the Cost-Benefit Analysis?",Assess Situation,Determine Business Objectives,Determine Business Success Criteria,Cognitive Project Requirements,B,"Determine Business Objectives establishes what the project aims to achieve, which is necessary input for calculating the costs and benefits of achieving those objectives.","Determine Business Success Criteria is tempting because it is sequentially adjacent to Cost-Benefit Analysis within the same task group, but it follows rather than precedes it - Determine Business Objectives establishes the goals that Cost-Benefit Analysis then evaluates.", - 
CPMAI-P1-20250226-5012,Phase I - Business Understanding,2,Assess Situation,8,"A project manager has identified that the AI initiative requires three data scientists and must be completed before the end of Q4. According to CPMAI, which Phase I task group is being executed?",Determine Business Objectives,Cognitive Project Requirements,Assess Situation,AI System Performance and Operation,C,"Assess Situation includes both Resource Requirements and Schedule Requirements tasks, which address staffing needs and timeline constraints.","AI System Performance and Operation is tempting because it involves defining performance values, but resource and schedule planning belong specifically to Assess Situation.", - 
CPMAI-P1-20250226-6345,Phase I - Business Understanding,1,Trustworthy AI Requirements,9,What is the priority level assigned to Trustworthy AI Requirements in the CPMAI framework?,Medium,High,Critical,Low,C,"Trustworthy AI Requirements is designated as Critical priority in the framework because it contains heavily tested CPMAI-specific concepts like ethics, explainability, and compliance.","High is tempting because many Phase I tasks are important, but the source material explicitly labels Trustworthy AI Requirements as Critical.", - 
CPMAI-P1-20250226-7128,Phase I - Business Understanding,3,Cognitive Project Requirements,10,A team has documented that their AI system needs to identify fraud patterns (pattern recognition) and recommend investigation priorities (decision support). The project manager believes this satisfies Cognitive Project Requirements. A reviewer disagrees. What is missing?,AI Pattern Identification - both requirements are patterns,The team has not identified whether the cognitive requirements are achievable with available data,The team should return to Phase II to confirm that available data supports both fraud pattern recognition and decision support before completing Cognitive Project Requirements,The team has not completed AI Pattern Identification and Cognitive Requirements as separate tasks - they have only done pattern identification,D,Cognitive Project Requirements is a task group containing two tasks: Cognitive Requirements (documenting all cognitive needs) and AI Pattern Identification (specifying pattern types). The team only performed pattern identification.,"Option B is tempting because data availability is always relevant, but the reviewer's concern is a Phase I task completion issue - Cognitive Project Requirements contains two separate tasks and the gap is incomplete Phase I documentation, not a data availability question requiring Phase II.",The distinction is that Cognitive Project Requirements is a task group containing two separate tasks; completing one does not complete the task group.
